"Mission","Leg","Station","Latitude","Longitude","Date (yyyymmdd)","UTM zone","Longitude (m E)","Latitude (m S)"
"TARA Chile","1","MMC-1","-50.89833333","-74.27833333","20210220","18F","550749.372988242","4361231.71498109"
"","1","MMC-2","-50.70166667","-74.57333333","20210222","18F","530130.558455499","4383262.24904219"
"","1","MMC-3","-50.70166667","-74.57333333","20210224","18F","530130.558455499","4383262.24904219"
"","1","MMC-5","-50.4693","-75.83807222","20210226","18F","440524.907623883","4408851.77184951"
"","1","MMC-4","-50.50183333","-75.015","20210228","18F","498936.225247974","4405569.65544054"
"","1","MMC-6","-48.13666667","-73.46833333","20210303","18F","613951.885790505","4667374.22328991"
"","1","MMC-7","-47.985","-73.795","20210305","18G","589912.954502762","4684663.45561792"
"","1","MMC-8","-47.7675","-74.60683333","20210306","18G","529459.97790969","4709464.83184629"
"","1","MMC-9","-41.89305","-73.15556667","20210314","18G","653010.005771083","5360452.39351019"
"","1","MMC-10","-41.74166667","-72.70783333","20210315","18G","690603.518636853","5376365.53107959"
"","1","MMC-11","-41.55133333","-72.32583333","20210317","18G","723026.88969131","5396582.23899233"
"","2","MMC-12","-41.69833333","-74.12833333","20210322","18G","572529.638778255","5383348.59084616"
"","2","MMC-13","-41.48666667","-74.65166667","20210324","18G","529078.849574621","5407156.48872946"
"","2","MMC-14","-39.93666667","-74.73266667","20210325","18H","522840.57589183","5579236.93052137"
"","2","MMC-15","-40.09666667","-74.41833333","20210326","18G","549580.954608387","5561350.55013297"
"","2","MMC-16","-40.10166667","-74.02833333","20210328","18G","582818.722236039","5560505.31321256"
"","2","MMC-17","-36.98333333","-73.91166667","20210331","18H","596858.375530194","5906422.08617877"
"","2","MMC-18","-36.81333333","-73.44333333","20210401","18H","638848.78360528","5924703.47446577"
"","2","MMC-19","-36.725","-73.73333333","20210402","18H","613110.243942321","5934884.86550096"
"","2","MMC-20","-36.65","-74.11166667","20210406","18H","579402.129369292","5943584.68690069"
"","3","MMC-21","-36.4645","-73.63683333","20210411","18H","622137.868876105","5963665.10767329"
"","3","MMC-24","-34.72883333","-72.43383333","20210413","18H","734964.628221084","6154027.82971085"
"","3","MMC-25","-34.35583333","-72.60316667","20210414","18H","720438.695155224","6195784.89715091"
"","3","MMC-26","-34.10083333","-72.83333333","20210415","18H","699868.074947726","6224543.41164846"
"","3","MMC-27","-33.53116667","-71.77666667","20210417","19H","242141.096313563","6286371.3087169"
"","3","MMC-28","-33.368","-72.219","20210418","18H","758746.038819721","6304458.92189872"
"","3","MMC-29","-33.08916667","-72.405","20210419","18H","742203.660549076","6335831.31175735"
"","4","MMC-30","-29.21198333","-72.03516667","20210428","18J","788251.242563441","6764885.23509193"
"","4","MMC-31","-26.18866667","-71.586","20210501","19J","241560.002684669","7100846.17596722"
"","4","MMC-32","-22.05933333","-71.13466667","20210505","19K","279712.84158897","7559062.99192356"
"","4","MMC-33","-22.35333333","-71.322","20210507","19K","260872.63071759","7526218.6434129"
"","4","MMC-34","-20.2478","-70.3109","20210508","19K","363079.71867776","7760553.62341914"
"TARA old","1","TSC146","-73.0537","-33.9116","20110311","25C","470343.317886681","1893303.12256793"
"","1","TSC147","-73.1066","-34.0614","20110312","25C","465574.95453928","1887322.50352547"
"","1","TSC148","-87.0693","-32.7971","20110318","25C","501158.224287424","329239.74870131"
"","1","TSC149","-101.1604","-29.7238","20110324","26C","558834.546782003","8851852.51663354"
"","1","TSC150","-111.7294","-25.826","20110403","26C","451497.345938032","7665165.09033178"
"","1","TSC151","-111.6906","-25.8076","20110404","26C","450820.88989154","7669536.49187098"
"","1","TSC152","-111.7202","-25.8051","20110403","26C","450653.845412433","7666214.74936202"
"","1","TSC153","-104.787","-21.146","20110409","27C","504159.476935941","8443911.89316108"
"","1","TSC154","-96.0122","-12.9723","20110415","28C","476293.442751986","9427350.67961069"
"","1","TSC155","-96.0232","-12.9794","20110416","28C","476333.357613828","9426117.79335086"
"","1","TSC156","-95.9759","-13.0023","20110415","28C","476784.537758092","9431397.35023032"
"","1","TSC157","-85.2732","-5.2669","20110422","30C","479149.402031069","529354.77768744"
"","1","TSC158","-85.1678","-5.261","20110422","30C","478741.022788864","541114.89144889"
"","1","TSC159","-85.1545","-5.2529","20110421","30C","478758.982191029","542601.57836445"
"","1","TSC165","-84.6265","-1.9002","20110521","30C","511498.163321057","601853.97218141"
"","1","TSC166","-84.6141","-1.8902","20110522","30C","511629.392583531","603236.03831842"
"","1","TSC167","-84.589","-2.0133","20110521","30C","510387.623076471","606061.27294588"
"","1","TSC168","-100.6751","-16.9587","20110531","28C","540497.544522037","8905537.42712451"
"","1","TSC169","-100.6715","-16.9486","20110601","28C","540275.368402113","8905933.55872388"
"","1","TSC170","-100.6335","-16.9601","20110531","28C","540370.404335085","8910196.73562104"
"","1","TSC171","-129.4997","-23.2189","20110611","27C","657358.276528487","5670228.00885159"
"","1","TSC172","-129.5986","-23.2232","20110615","27C","657992.335941054","5659127.56857441"
"","1","TSC173","-129.3947","-23.2811","20110614","27C","661409.807263793","5682157.52225259"
"","1","TSC176","-139.1394","-9.0063","20110728","29C","500530.95437605","4585602.35586708"
"","1","TSC180","-139.2393","-8.9729","20110727","29C","497712.625359369","4574397.067945"
"","1","TSC184","-139.1963","-8.9971","20110726","29C","499755.383399459","4579219.92544082"
"","1","TSC191","-140.283","-8.9068","20110731","29C","492011.730779715","4457346.21768659"
"","1","TSC199","-140.5216","-9.1504","20110804","29C","512935.248165202","4430597.17670159"
"","1","TSC207","-142.5571","-8.9111","20110808","29C","492136.141932053","4202400.67294197"
"","1","TSC209","-153.6858","0.0222","20110905","31C","797295.857681978","2960775.77083499"
"","1","TSC210","-153.6759","0.0003","20110904","31C","799458.018407562","2961934.65871936"
