"Samples"	"SAMEA ID"	"Leg"	"Station"	"Station ID"	"Depth ID"	"lat_cast"	"lon_cast"	"datetime"	"Depth [m]"	"Temperature [ºC]"	"Salinity [PSU]"	"Density [kg/m3]"	"Oxygen [ml/l]"	"Oxygen [%]"	"Fluorescence [mg/m3]"	"Orthophosphate [uM]"	"Silicic acid [uM]"	"Nitrite [uM]"	"Nitrates [uM]"	"Nitrate [uM]"	"N/P ratio"	"year"	"month"	"day"	"hour"	"minute"	"second"	"instrument"	"original file"	"Depth level"	"Oxygen level"	"Biogeographical units"	"Freshwater inputs"
"S01_Z00"	"SAMEA7920473"	"1"	"1"	"MMC-001"	"Z0"	"-50.89833333"	"-74.27833333"	"2/20/2021 10:24"	"2"	"11.272"	"24.72"	"1018.754"	"6.665"	"101.623"	"13.091"	"1.206"	"7.38"	"0.03"	"12.382"	"12.353"	"10.267"	"2021"	"2"	"20"	"10"	"24"	"52"	"sbe17plusV2"	"cast 011000.cnv"	"SRF"	"OXIC"	"PFR"	"YES"
"S01_Z01"	"SAMEA7920507"	"1"	"1"	"MMC-001"	"Z1"	"-50.89833333"	"-74.27833333"	"2/20/2021 10:24"	"20"	"10.569"	"29.59"	"1022.73"	"5.856"	"90.689"	"4.438"	"0.389"	"1.483"	"0.097"	"2.133"	"2.037"	"5.484"	"2021"	"2"	"20"	"10"	"24"	"52"	"sbe17plusV2"	"cast 011000.cnv"	"EPI"	"OXIC"	"PFR"	"YES"
"S01_Z05"	"SAMEA7920503"	"1"	"1"	"MMC-001"	"Z5"	"-50.89833333"	"-74.27833333"	"2/20/2021 10:24"	"90"	"9.06"	"32.82"	"1025.818"	"4.836"	"73.974"	"1.328"	"1.246"	"3.997"	"0.024"	"13.68"	"13.656"	"10.979"	"2021"	"2"	"20"	"10"	"24"	"52"	"sbe17plusV2"	"cast 011000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S02_Z00"	"SAMEA7920664"	"1"	"2"	"MMC-002"	"Z0"	"-50.70166667"	"-74.57333333"	"2/22/2021 10:12"	"2"	"11.465"	"26.58"	"1020.165"	"6.43"	"99.611"	"11.013"	"0.597"	"3.29"	"0.082"	"6.825"	"6.743"	"11.432"	"2021"	"2"	"22"	"10"	"12"	"1"	"sbe17plusV2"	"cast 015000.cnv"	"SRF"	"OXIC"	"PFR"	"YES"
"S02_Z01"	"SAMEA7920687"	"1"	"2"	"MMC-002"	"Z1"	"-50.70166667"	"-74.57333333"	"2/22/2021 10:12"	"10"	"11.426"	"26.774"	"1020.357"	"6.413"	"99.384"	"9.846"	"0.287"	"1.268"	"0.065"	"0.3"	"0.235"	"1.047"	"2021"	"2"	"22"	"10"	"12"	"1"	"sbe17plusV2"	"cast 015000.cnv"	"EPI"	"OXIC"	"PFR"	"YES"
"S02_Z03"	"SAMEA7920684"	"1"	"2"	"MMC-002"	"Z3"	"-50.70166667"	"-74.57333333"	"2/22/2021 10:12"	"50"	"9.212"	"32.5"	"1025.357"	"5.182"	"79.374"	"1.501"	"1.475"	"7.048"	"0.017"	"17.448"	"17.43"	"11.831"	"2021"	"2"	"22"	"10"	"12"	"1"	"sbe17plusV2"	"cast 015000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S02_Z05"	"SAMEA7920681"	"1"	"2"	"MMC-002"	"Z5"	"-50.70166667"	"-74.57333333"	"2/22/2021 10:12"	"90"	"8.981"	"33.017"	"1025.985"	"5.107"	"78.092"	"1.34"	"1.09"	"5.223"	"0.051"	"12.063"	"12.012"	"11.067"	"2021"	"2"	"22"	"10"	"12"	"1"	"sbe17plusV2"	"cast 015000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S03_Z00"	"SAMEA7920795"	"1"	"3"	"MMC-003"	"Z0"	"-50.70166667"	"-74.57333333"	"2/24/2021 11:13"	"2"	"11.426"	"8.36"	"1006.066"	"5.553"	"76.611"	"13.293"	"0.562"	"3.09"	"0.063"	"6.178"	"6.115"	"10.987"	"2021"	"2"	"24"	"11"	"13"	"38"	"sbe17plusV2"	"cast 019000.cnv"	"SRF"	"OXIC"	"PFR"	"YES"
"S03_Z01"	"SAMEA7920806"	"1"	"3"	"MMC-003"	"Z1"	"-50.70166667"	"-74.57333333"	"2/24/2021 11:13"	"10"	"11.375"	"8.225"	"1006.006"	"5.439"	"74.883"	"12.997"	"1.022"	"4.339"	"0.045"	"10.797"	"10.752"	"10.562"	"2021"	"2"	"24"	"11"	"13"	"38"	"sbe17plusV2"	"cast 019000.cnv"	"EPI"	"OXIC"	"PFR"	"YES"
"S03_Z03"	"SAMEA7920803"	"1"	"3"	"MMC-003"	"Z3"	"-50.70166667"	"-74.57333333"	"2/24/2021 11:13"	"50"	"9.575"	"32.34"	"1025.176"	"5.3"	"81.739"	"1.427"	"0.878"	"4.277"	"0.053"	"9.2"	"9.147"	"10.479"	"2021"	"2"	"24"	"11"	"13"	"38"	"sbe17plusV2"	"cast 019000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S03_Z05"	"SAMEA7920800"	"1"	"3"	"MMC-003"	"Z5"	"-50.70166667"	"-74.57333333"	"2/24/2021 11:13"	"90"	"9.691"	"33.125"	"1025.954"	"5.448"	"84.672"	"1.389"	"1.339"	"5.576"	"0.029"	"15.982"	"15.953"	"11.934"	"2021"	"2"	"24"	"11"	"13"	"38"	"sbe17plusV2"	"cast 019000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S04_Z00"	"SAMEA7920973"	"1"	"4"	"MMC-004"	"Z0"	"-50.50183333"	"-75.015"	"2/28/2021 10:09"	"1"	"11.943"	"30.15"	"1022.846"	"6.185"	"99.016"	"12.412"	"0.791"	"2.07"	"0.328"	"6.84"	"6.513"	"8.645"	"2021"	"2"	"28"	"10"	"9"	"37"	"sbe17plusV2"	"cast 030000.cnv"	"SRF"	"OXIC"	"PFR"	"NO"
"S04_Z01"	"SAMEA7920984"	"1"	"4"	"MMC-004"	"Z1"	"-50.50183333"	"-75.015"	"2/28/2021 10:09"	"10"	"11.113"	"31.222"	"1023.869"	"6.118"	"96.872"	"4.539"	"0.562"	"1.475"	"0.171"	"3.22"	"3.049"	"5.73"	"2021"	"2"	"28"	"10"	"9"	"37"	"sbe17plusV2"	"cast 030000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S04_Z05"	"SAMEA7920987"	"1"	"4"	"MMC-004"	"Z5"	"-50.50183333"	"-75.015"	"2/28/2021 10:09"	"90"	"10.545"	"33.308"	"1025.952"	"5.586"	"88.537"	"1.465"	"1.06"	"2.255"	"0.361"	"12.375"	"12.014"	"11.677"	"2021"	"2"	"28"	"10"	"9"	"37"	"sbe17plusV2"	"cast 030000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S05_Z00"	"SAMEA7920941"	"1"	"5"	"MMC-005"	"Z0"	"-50.4693"	"-75.83807222"	"2/26/2021 10:10"	"3"	"12.171"	"32.66"	"1024.755"	"6.403"	"104.635"	"30.279"	"0.331"	"0.415"	"0.1"	"1.78"	"1.681"	"5.386"	"2021"	"2"	"26"	"10"	"10"	"9"	"sbe17plusV2"	"cast 023000.cnv"	"SRF"	"OXIC"	"PFR"	"NO"
"S05_Z01"	"SAMEA7920926"	"1"	"5"	"MMC-005"	"Z1"	"-50.4693"	"-75.83807222"	"2/26/2021 10:10"	"10"	"12.089"	"32.753"	"1024.877"	"6.334"	"103.396"	"23.184"	"0.798"	"1.517"	"0.191"	"8.73"	"8.54"	"10.947"	"2021"	"2"	"26"	"10"	"10"	"9"	"sbe17plusV2"	"cast 023000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
"S05_Z05"	"SAMEA7920920"	"1"	"5"	"MMC-005"	"Z5"	"-50.4693"	"-75.83807222"	"2/26/2021 10:10"	"80"	"7.674"	"33.974"	"1026.887"	"5.393"	"80.57"	"1.334"	"1.486"	"4.76"	"0.07"	"20.153"	"20.083"	"13.567"	"2021"	"2"	"26"	"10"	"10"	"9"	"sbe17plusV2"	"cast 023000.cnv"	"EPI"	"OXIC"	"PFR"	"NO"
