Samples	Depth [m]	Temperature [ºC]	Salinity [PSU]	Density [kg/m3]	Oxygen [ml/l]	Oxygen [%]	Fluorescence [mg/m3]	Orthophosphate [uM]	Silicic-acid [uM]	Nitrite [uM]	Nitrates [uM]	Nitrate [uM]	NP ratio
S01_Z00	2	11.272	24.72	1018.754	6.665	101.623	13.091	1.206	7.38	0.03	12.382	12.353	10.267
S01_Z01	20	10.569	29.59	1022.73	5.856	90.689	4.438	0.389	1.483	0.097	2.133	2.037	5.484
S01_Z05	90	9.06	32.82	1025.818	4.836	73.974	1.328	1.246	3.997	0.024	13.68	13.656	10.979
S02_Z00	2	11.465	26.58	1020.165	6.43	99.611	11.013	0.597	3.29	0.082	6.825	6.743	11.432
S02_Z01	10	11.426	26.774	1020.357	6.413	99.384	9.846	0.287	1.268	0.065	0.3	0.235	1.047
S02_Z03	50	9.212	32.5	1025.357	5.182	79.374	1.501	1.475	7.048	0.017	17.448	17.43	11.831
S02_Z05	90	8.981	33.017	1025.985	5.107	78.092	1.34	1.09	5.223	0.051	12.063	12.012	11.067
S03_Z00	2	11.426	8.36	1006.066	5.553	76.611	13.293	0.562	3.09	0.063	6.178	6.115	10.987
S03_Z01	10	11.375	8.225	1006.006	5.439	74.883	12.997	1.022	4.339	0.045	10.797	10.752	10.562
S03_Z03	50	9.575	32.34	1025.176	5.3	81.739	1.427	0.878	4.277	0.053	9.2	9.147	10.479
S03_Z05	90	9.691	33.125	1025.954	5.448	84.672	1.389	1.339	5.576	0.029	15.982	15.953	11.934
S04_Z00	1	11.943	30.15	1022.846	6.185	99.016	12.412	0.791	2.07	0.328	6.84	6.513	8.645
S04_Z01	10	11.113	31.222	1023.869	6.118	96.872	4.539	0.562	1.475	0.171	3.22	3.049	5.73
S04_Z05	90	10.545	33.308	1025.952	5.586	88.537	1.465	1.06	2.255	0.361	12.375	12.014	11.677
S05_Z00	3	12.171	32.66	1024.755	6.403	104.635	30.279	0.331	0.415	0.1	1.78	1.681	5.386
S05_Z01	10	12.089	32.753	1024.877	6.334	103.396	23.184	0.798	1.517	0.191	8.73	8.54	10.947
S05_Z05	80	7.674	33.974	1026.887	5.393	80.57	1.334	1.486	4.76	0.07	20.153	20.083	13.567
S05_Z07	200	6.688	34.17	1027.735	4.454	65.149	1.237	1.614	6.4	0.043	23.23	23.188	14.397
S05_Z08	300	5.524	34.202	1028.842	5.672	80.755	1.159	1.605	6.11	0.044	22.53	22.487	14.042
S05_Z09	500	5.301	34.2	1029.331	5.764	81.634	1.176	1.554	6.06	0.034	22.63	22.597	14.567
S05_Z10	600	5.081	34.195	1029.822	5.716	80.53	1.135	1.611	6.04	0.066	22.75	22.685	14.126
S06_Z00	2	10.607	1.77	1001.039	7.917	102.818	2.463	1.301	11.948	0.031	16.752	16.721	12.874
S06_Z05	90	8.532	33.816	1026.68	3.401	51.753	1.321	1.855	13.58	0.014	23.857	23.843	12.861
S07_Z00	2	13.489	6.8	1004.582	4.884	69.868	2.298	0.026	4.025	0.022	0.05	0.028	1.923
S07_Z01	10	13.166	10.983	1007.883	5.583	81.368	3.067	0.924	5.96	0.133	10.335	10.202	11.191
S07_Z03	50	9.523	33.418	1026.027	3.834	59.486	1.386	1.85	12.88	0.022	22.722	22.7	12.284
S07_Z05	90	8.664	33.81	1026.654	3.537	53.974	1.262	1.903	13.208	0.019	23.688	23.669	12.449
S08_Z00	2	14.869	24.61	1018.018	6.009	98.76	5.157	1.974	12.525	0.035	24.5	24.466	12.41
S08_Z01	10	14.956	27.818	1020.502	5.866	98.515	5.233	1.377	8.11	0.02	15.91	15.89	11.558
S08_Z03	50	9.535	33.311	1025.942	4.145	64.28	1.436	1.725	9.27	0.024	20.875	20.851	12.099
S08_Z05	90	8.612	33.815	1026.666	4.056	61.822	1.293	1.803	9.76	0.02	22.107	22.086	12.263
S09_Z00	2	12.649	32.28	1024.365	4.81	79.204	9.798	1.668	13.857	0.234	15.913	15.68	9.542
S09_Z01	10	12.407	32.453	1024.584	4.692	76.962	7.215	1.713	13.33	0.251	17.053	16.802	9.953
S09_Z03	50	11.944	32.928	1025.221	4.505	73.398	5.767	1.696	11.905	0.254	17.635	17.381	10.397
S09_Z05	90	11.854	32.973	1025.454	4.42	71.891	4.678	1.742	12.33	0.247	17.26	17.013	9.906
S10_Z00	3	15.441	27.93	1020.459	6.624	112.406	8.288	0.601	8.0	0.035	0.58	0.545	0.966
S10_Z01	10	13.37	31.74	1023.846	5.173	86.176	47.632	2.026	16.534	0.126	18.254	18.129	9.009
S10_Z05	90	11.127	32.716	1025.387	3.015	48.214	1.43	2.503	31.233	0.053	26.127	26.074	10.44
S11_Z00	2	17.011	13.88	1009.386	6.641	106.795	23.287	0.107	16.183	0.043	0.08	0.037	0.75
S11_Z01	10	14.172	30.947	1023.072	6.409	107.999	16.609	2.511	18.265	0.103	23.513	23.411	9.366
S11_Z03	50	11.392	32.577	1025.05	2.289	36.776	1.472	2.925	32.95	0.043	27.825	27.782	9.513
