Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
S01_Z00	729.3897599999999	5543.30498	2535.721180000001	2742.438919999999	26457.950900000007	1878.69407	18041.006010000005	6265.54295	3518.46395	5289.44238	1615.05767	6392.64964	14306.238569999992	1963.3449499999997	3760.96639	28725.911413	3860.7111600000007	455.8553999999999	2653.563079999999	754.29098	3945.05856	2307.4071500000005	1255.63166	2481.529429999999	4953.040750000001	2568.2658199999996	5277.12351	7682.157330000001	3779.6191800000006	6801.918729999999	5948.443359999999	5180.988920000001	2660.38242	14436.569280000003	9576.40066	17779.39961	2911.018639999999	4398.018689999999	11303.642029999995	2875.234749999999	1207.1654699999997	1752.1047699999997	15265.887560000005	19719.673110000003	20510.29152999999	7420.8394899999985	22088.064620000012	7481.907390000001	5414.605300000001	1653.1184300000004	4228.084709999999	1671.8431700000003	2901.92275	4019.82487	3368.7590099999993	5410.524740000001	12261.495209999995	35121.45510000001	19393.840602999997	8649.88858	6740.454739999999	3910.0521999999983	14917.305250000005	6441.031369999999	6824.304780000001	10971.578779999993	3988.24099	1400.78945	3530.6316799999995	10205.38779	1743.4449100000004	2130.3657099999996	7856.582590000002	6866.885399999998	9976.70353	10438.490159999998	14708.848630000002	6737.5666699999965	3928.18709	6154.6107930000035	10240.207370000002	3942.873223000001	2276.136089999999	4750.621359999998	3414.3203900000008	4049.21378	3201.7620999999995	30669.488120000016
S01_Z01	936.53135	4408.939600000001	3368.40141	3424.516410000001	30238.610729999986	2760.3944399999996	19609.362899999986	6871.35719	3967.28527	4990.5534099999995	1512.5927199999996	7636.664980000001	15322.149439999996	1788.1214999999995	4385.72174	28706.536059999995	3610.715760000001	346.70741	2556.344360000001	897.3899799999999	4332.003339999999	2847.26652	1480.28399	3316.807810000001	4977.748240000003	3126.836300000001	5852.541939999999	8033.399220000003	4443.979659999998	8135.12023	5673.27261	5205.452880000001	1972.8861600000005	16444.394030000003	12800.010449999996	18515.37363999999	2377.55549	3265.56035	11452.10268	2848.7704900000003	1380.9494299999997	1952.6977099999997	17240.712897999998	24048.313829999992	21906.65843000001	7247.655120000003	25966.56579	7498.594179999999	6631.6941400000005	1653.56817	4229.4696300000005	2313.1556199999995	3661.49957	3519.645810000002	4405.503040000001	6682.032719999997	13662.95048	39119.09059000001	22076.43409	8994.272239999995	5869.951899999998	3524.15312	16341.387830000009	7018.969049999998	5952.842740000003	11840.167480000002	4045.753290000001	1367.7181400000002	2996.213230000001	10067.13783	1602.4963599999996	3031.390989999999	8846.597210000005	6631.323890000001	10799.1921	10743.483860000004	16332.46007	7535.855870000001	4335.869099999999	5912.22738	10733.042019999995	4216.0476499999995	1999.89438	5372.98631	3456.205840000001	4112.1316099999995	3350.7408499999983	32212.379160000004
S01_Z05	624.8754099999999	4044.02256	1782.3729899999996	1918.96908	16256.920669999994	967.46157	10231.506119999998	4109.337769999999	2324.4458099999993	2520.078939999999	819.15958	3219.3258599999995	6006.06269	812.3808000000001	3241.15692	16143.935750000004	2242.7208800000008	630.9293999999999	1378.6155400000005	780.8630999999999	2430.4920500000007	1475.9172900000003	536.1133199999999	1397.55551	2541.8647	1279.9278899999997	3059.7315800000006	2995.8324	3165.91439	4697.128240000001	3838.8711600000006	3152.144190000001	1291.79417	10057.13102	5631.001860000001	9187.302909999997	1073.64108	2878.350440000001	6659.968820000001	2061.0621999999994	1329.7201	709.6020699999999	10009.297350000004	12360.434290000005	12038.709319999987	4077.687500000001	14457.739700000002	4084.348899999999	3007.737189999999	1239.87126	2185.877090000001	719.20157	1579.16448	1950.1878499999996	1430.2575299999996	2497.53381	6655.573579999999	20866.514640000005	12906.129360000004	3150.79975	4016.5445799999984	2090.9661200000005	9550.48286	3070.79261	3111.8893699999994	5293.357750000004	1787.2814400000002	740.4844	1456.8043700000003	4589.343930000001	904.40651	1056.02688	5175.13427	3403.498	5658.277760000001	6089.709489999997	11659.330279999998	3824.89598	1474.8322500000002	3015.0615500000004	5949.582330000005	3337.80746	947.06158	3354.7257900000004	3016.09629	3130.2754600000003	2245.515180000001	19807.944539999997
S02_Z00	721.0052499999998	5516.620229999998	4617.843749999999	3534.6661500000014	29816.83459000001	2314.95585	21459.79912000001	6887.4649899999995	3193.9141400000003	6072.575550000001	1497.0236300000004	5949.751159999999	15790.30175	1470.1930900000002	4327.410979999999	29632.25610400002	3751.87837	303.37392000000006	2675.86029	838.4036	4670.688130000002	2270.35645	841.0188899999999	2767.55783	4288.8553	3140.65202	6286.959569999998	6918.43125	3824.440270000001	8545.315379999998	7129.621460000004	6101.96716	2955.7035200000005	15515.65431	14063.263239999998	17117.769829999994	2262.13329	4333.420040000001	11294.660140000004	2369.069029999999	1184.4847099999995	2318.6405499999996	15302.301029999997	23071.096079999996	20361.69638	6435.210560000001	25300.08415000001	7023.251619999999	6430.950939999999	2050.3472199999997	4847.412909999997	1400.1365499999995	3745.72691	3459.98623	4087.931060000001	6135.178200000001	12597.931890000002	38997.67134099999	22951.63341	7861.804421000001	5629.8960400000005	4640.556959999998	17565.017969999994	7249.830360000001	6518.711199999999	10860.67978	4938.535919999999	1387.47873	2701.592609999999	9895.897060000005	1206.8454600000002	2787.3328700000006	9279.883090000005	7509.233399999999	10370.914890000002	10497.21575	17714.61041000001	9067.195335000002	3875.5546100000015	5296.49435	11431.217399999998	5041.48655	1957.1632599999991	5488.667870000001	3159.942519999999	4828.54934	4040.070880000001	32921.76111400001
S02_Z01	611.2182	4271.394289999999	3303.9465099999993	2666.3793100000003	25204.797090000015	1509.1471	16564.788749999992	6402.328290000002	2678.32025	4212.663409999998	1454.8348600000002	5227.239709999997	12754.684209999992	1453.6417299999998	3345.674930000001	22788.243439999995	3222.17823	455.92863000000006	3294.3607199999997	614.07242	3263.52371	2379.9067800000003	850.68188	2416.0880999999995	3750.5897200000018	2444.60313	4734.13743	6786.604989999999	3402.1570700000007	6319.00201	6969.417039999997	4157.30524	1871.62069	13032.802669999995	10945.26765	14584.791390000004	1984.12297	3579.4788599999997	9760.87685	2465.87857	1304.1733	2396.98683	12209.301059999996	20217.91212000001	17429.57321000001	6441.738739999998	21138.56971	6241.36613	6507.477680000001	1842.7342	3804.687960000001	1199.2692499999998	3270.6338299999993	3191.272139999999	2962.15681	4552.860229999999	11265.847049999997	33404.637249999985	17645.49588000001	6310.858979999997	5424.909820000001	4178.50404	13945.819680000002	5562.907949999999	6022.060830000002	8821.603840000002	3900.251569999999	1280.3372199999997	2834.702259999999	8724.470999999996	1055.52269	2599.1181800000004	6990.015509999999	6240.049169999999	9341.658550000002	8926.60369	13194.851499999992	6253.1873700000015	3498.52952	4283.48119	8317.037590000002	3635.2446100000006	1627.0565700000002	4177.48085	3176.824620000001	3551.2130199999997	2892.77045	26561.295049999997
S02_Z03	445.30945	3126.98808	2311.5694000000003	2244.031099999999	19267.11389	1601.7362300000004	13258.981130000006	4946.451119999999	2393.972759999999	4108.092879999999	867.3275700000002	4506.38806	9660.824290000004	1305.56983	2580.06147	20959.018129999997	2681.479889999999	354.88099000000005	2216.34599	464.49346999999995	3517.310929999999	2066.9580900000005	583.73897	1734.4126499999998	3347.2167700000005	2035.53108	5040.039339999998	5017.617870000001	2464.769180000001	5254.26906	3750.3015300000006	3772.1919899999994	1334.66367	10434.92364	8482.645169999998	11973.40722	1386.4888800000003	2281.473119999999	7948.265899999996	2104.3076200000005	741.9270700000001	1229.15241	11494.28826	16405.13811	13056.34727999999	4797.837860000002	16817.591969999998	5104.496319999998	4740.652709999998	1437.6947699999998	2676.54331	1488.8050999999998	2087.48086	1961.47019	2514.477730000001	4003.652140000002	9258.753820000002	27797.587899999988	14837.566740000006	5359.323889999998	4419.466309999998	2465.1009000000004	10557.581660000002	4671.542849999997	4470.660340000001	6722.276829999999	2470.60465	1023.44365	2278.0274400000008	7160.74062	1033.73324	1316.8702000000003	5800.716449999998	4813.908590000001	6756.7730599999995	6824.367020000001	11014.846029999992	5997.672749999999	2762.8671200000003	4584.777649999998	7515.551060000001	2682.5652700000005	1859.1185799999992	3284.26477	3147.05564	3905.179590000001	2083.0573300000005	22459.19548999998
S02_Z05	791.9163500000001	3867.0729	1916.3354499999996	2112.18535	20352.81721999999	1653.5898699999998	12167.669059999997	4084.61326	2787.7270700000004	3285.756729999999	1451.35664	4618.66013	7789.36155	1304.9779500000009	3636.3481	18755.43371	2704.218800000001	558.6692200000001	2176.60335	849.9530600000002	3052.0479800000003	1910.5117799999991	866.4341700000002	2251.9387199999987	2821.11621	1628.22942	4595.980559999999	4449.74023	3179.09111	5285.830370000001	4759.5152	3728.0774299999985	1235.3384	12547.93392000001	7125.187679999997	11079.426009999996	1538.2316899999996	2686.782369999999	7682.97351	2921.9018500000006	1519.94958	647.3152400000001	13067.48098	15639.139540000004	14736.451799999995	5376.2992099999965	14342.382910000002	4951.394519999999	4374.82231	1225.0966099999998	3058.470899999999	1363.31933	1984.5945699999995	2626.20357	2346.96647	3074.86369	7943.496449999997	23133.01424000002	15354.253030999997	4447.7429600000005	4976.982770000001	3098.026550000001	11744.7787	3332.7730599999995	4686.656780000001	6168.177610000002	2049.7388699999997	686.0721700000001	2277.8956899999994	5837.288779999998	1118.67908	1463.49157	7802.793099999998	4397.829450000003	6695.565599999997	8158.099829999998	12566.540919999998	4314.664060000001	1747.8696399999997	4152.458010000002	7468.005170000002	3837.0773400000016	1415.4686399999994	3105.0846500000016	3111.8405700000003	3378.96268	2357.2607399999997	24458.84942999999
S03_Z00	636.8179400000001	3110.87285	1387.4569	2184.56806	17365.252780000003	1297.63892	12194.61847	4302.918129999999	2634.10449	2860.406339999999	1187.9585	4735.84299	9736.378210000004	1518.0304500000004	1974.52319	18822.18066	2976.87746	336.0253	1812.0962600000005	582.88584	3218.65191	2024.1382499999995	672.7735200000001	2031.0557999999996	3701.5492100000006	2363.13676	3870.68426	4633.845360000002	2826.15593	4950.702829999998	3540.5795199999993	3021.708100000001	1455.0771100000004	10182.478290000005	8064.169829999998	11253.44786999999	1323.26274	2822.127969999999	7583.937990000003	1637.5462269999998	909.75539	1481.0420299999996	9822.40734999999	14283.96751	12754.01609	4550.142169999999	13893.202839999998	4639.781569999999	4265.95312	1149.6449	2824.479420000001	1427.9631499999998	2004.9524699999995	2553.6961199999996	2958.9090599999995	3743.05458	8215.320280000002	23360.011270000006	12961.4846	5433.50847	3837.1997900000006	2373.2717199999997	12199.11556	5021.02599	4812.205599999998	5683.467800000001	2624.8430799999996	778.14815	2178.1002700000004	5784.649459999998	1001.42141	1274.59137	5201.815960000003	4753.842419999999	6909.643760000001	8021.642170000003	10050.76836	5929.80048	3020.606660000001	3293.34248	6565.176719999998	2933.3031899999996	1535.28628	3803.992	3170.4369699999984	2723.63444	2097.8282799999997	21084.814619999997
S03_Z01	370.69617000000005	2394.906630000001	1587.5175400000005	1771.3187300000002	14933.581640000002	1159.12032	9515.1889	3296.6390700000006	1561.9065399999995	2956.417629999999	801.4094800000001	3461.30338	7949.897760000005	1073.30618	2138.4365599999996	16597.196580000003	2067.8429500000007	137.08884	1578.49159	363.20054	2438.6177599999996	1523.8152200000002	508.9813	1417.1178100000002	2812.79498	1517.5902600000004	3515.4454499999997	3984.221760000001	2117.423280000001	4073.59064	4026.446049999999	2583.5784700000004	1130.51095	8129.5854	7282.42662	9522.233999999991	1323.8855399999995	2133.35223	6702.63805	1448.76076	523.2834799999999	1107.23392	7926.529489999999	12605.086030000002	10764.572339999995	3996.016656999999	12505.540869999992	3753.11021	3370.7265999999986	757.01765	2498.2481900000007	1365.1827500000002	1761.7943999999995	1891.93303	2025.5264399999992	3097.37663	6245.7267800000045	20813.340069999987	12671.100780000004	4419.299259999999	3282.03025	2546.1504900000004	9703.810279999998	4070.079279999999	3617.62471	5746.868999999995	2196.622789999999	633.6108899999999	1919.1796500000005	4922.167429999998	701.0187	1386.4906999999998	4869.07514	4234.753830000001	4809.144559999999	6155.791930000003	8594.024349999994	4536.8803	1762.0815200000004	2853.400889999999	6048.482870000001	2139.4900399999997	950.4609399999998	2740.8527599999993	2148.06719	2216.37428	1720.1555199999996	16638.613427000008
S03_Z03	617.72319	4195.92049	2004.32618	2713.0095300000003	21963.144219999987	1454.52785	13970.708739999993	4375.132810000001	3054.943460000001	3790.7254899999994	937.07322	4936.928560000003	11077.764120000002	1584.1255699999997	3181.9572299999995	21086.85004999999	2931.6429499999995	366.29907	2361.2412899999995	550.8582700000001	2923.3439500000004	2287.32888	503.1212400000001	1987.3496999999993	3854.3373	2484.985460000001	4503.622050000001	5816.130849999996	2922.118239999999	5836.511839999999	5788.024759999997	3695.803390000001	1815.71348	12084.992990000002	10337.45505	12600.057879999998	1358.2489600000004	2530.7572600000003	8228.902449999996	2550.5425499999997	980.6490600000002	1176.1288700000002	12771.936628000003	16643.78393	15507.172530000002	5449.54471	16587.790010000008	6466.65315	4933.797499999999	1998.83828	3594.2047700000003	1382.38505	2677.2534300000007	2286.21736	2472.8385400000006	3806.15803	9909.266359999992	28475.816079999997	16707.825360000006	5381.9340999999995	4300.91768	3234.9009900000005	11940.47094	5396.101669999996	5184.797279999998	7947.87273	3397.64304	893.15926	2349.2967900000003	7963.474669999999	1015.91233	1664.5310400000003	7649.14711	4468.946240000001	7743.651420000001	7796.394849999998	12908.192	5923.524559999997	2767.83583	5419.571760000001	8608.81064	3731.2666	1680.0226099999995	4165.67038	3124.3187500000004	3567.64221	2418.245479999999	24415.18246000001
