Samples	meh	prkb	rbcl	rbcs	coxs	coxm	cutm	coxl	cutl	mct	abfd	acs	acss	acsb	nirk	nosz	norb	nirs	napa	nrfa	nira	narb	nasa	nr	hao	nit-6	nifk	nifd	nifh	pufm	peth	pete	petc	psba	psaa	apca	apcf	cpca	cpea	mpea	cpet	lhcb1	lhca1	sat	met3	apra	aprb	suox	sir	cysc	cysk	cysm	cysh	cysj	cysi	cysn	cysd
S01_Z00	0.0	70.073	644.2333	579.16744	598.20978	687.6468400000001	5.68851	207.33127	16.14235	0.0	385.63111	106.93439	0.0	0.0	411.28474	0.0	0.0	0.0	0.0	0.0	109.2255	395.6635	39.2033	0.0	0.0	0.0	0.0	0.0	0.0	142.79424	391.14719	81.1836	3106.620280000001	491.9831	1550.4800000000002	0.0	299.4993	17.50414	249.681	22.4676	736.5992100000001	0.0	210.5693	351.34582000000006	35.99049	15.54982	576.51681	24.88624	668.02391	2281.09808	1117.14302	288.92479999999995	1422.67249	1034.0879	953.2447	779.3746899999999	1304.0012300000003
S01_Z01	0.0	21.8295	366.14735999999994	177.57067	689.9196399999998	804.11418	16.5267	549.6831500000001	48.36665	0.0	30.2971	21.51638	0.0	10.1821	270.17114999999995	0.0	0.0	0.0	975.6126	0.0	489.2122	188.6565	26.93183	0.0	0.0	0.0	0.0	0.0	0.0	378.60592	246.79019	262.09771	2800.3260799999985	700.3666000000001	951.50853	0.0	393.4661	37.28419	577.1270999999999	54.040499999999994	1079.01001	0.0	115.75142	817.4096400000001	35.27784	0.0	970.7330900000004	35.87289	848.16047	2228.4271299999996	1690.86027	620.2811100000001	1785.19574	673.9900600000002	694.0334600000001	850.7303499999999	1655.5075500000005
S01_Z05	0.0	12.2026	35.02567	0.0	958.0869000000004	1506.4081000000012	35.452020000000005	733.8297299999998	113.2848	12.76302	142.87743999999998	5.35446	0.0	0.0	230.36943	6.41463	0.0	7.74529	41.95513	0.0	54.03983	3.08955	10.2953	0.0	0.0	0.0	0.0	0.0	0.0	3.45802	20.7507	0.0	1542.1455600000004	0.0	60.57659	0.0	10.5507	0.0	11.7073	11.7073	8.53163	0.0	0.0	2159.8907	227.3809	3.81259	1486.9158940000002	0.0	29.38377	2374.224510000001	823.8345599999998	833.6923999999997	561.3423399999999	694.8654	850.33845	373.76166	829.3592400000001
S02_Z00	0.0	0.0	530.4020199999998	659.69153	677.63957	543.46839	0.0	404.92230000000006	7.02562	0.0	571.8842999999999	22.0546	0.0	0.0	293.87161999999995	0.0	0.0	0.0	332.35949	0.0	511.6769000000001	150.97954	20.70319	0.0	0.0	0.0	11.611	0.0	0.0	180.21069	483.93123999999995	438.2563300000001	3297.0505700000003	758.1836099999999	1155.2437600000003	0.0	285.7663	97.11041	291.674	153.46	757.35608	0.0	79.83558	373.841	10.8654	11.0674	774.42378	11.31387	651.76913	1994.0413000000003	1651.00914	626.2276499999998	1361.8882	721.2335300000002	524.4708500000002	847.2366899999998	1290.4989899999996
S02_Z01	0.0	10.344	622.1899600000002	379.93934	774.1168299999999	808.19436	0.0	377.35707	24.02193	0.0	500.4552	75.4949	0.0	5.90987	272.05706000000004	0.0	5.64481	3.59684	322.8138	0.0	411.7362	138.28879999999998	14.41742	0.0	0.0	0.0	12.833	0.0	0.0	178.46421999999998	444.57805	239.4828	2841.065420000001	676.1650799999999	1005.34492	5.25626	404.54413	97.43618	286.5238	24.2816	519.4927	0.0	95.10037	162.40757000000002	0.0	16.41415	725.1673100000002	42.86475	544.4364699999999	2209.6489899999997	1544.7608599999994	228.64494	1004.8338	655.97338	516.70497	752.0479399999999	1227.7921300000005
S02_Z03	0.0	0.0	279.86615	223.73725	501.62533999999994	892.9445399999998	8.53244	450.8536	17.84485	5.6494	311.09159	15.0518	0.0	8.26547	191.90682999999996	10.4091	0.0	0.0	441.4149	0.0	391.6953	181.95246	11.1911	0.0	0.0	0.0	0.0	0.0	0.0	117.79557	298.62516	337.6412	1567.2654699999998	508.82914000000005	722.9551399999998	0.0	274.1667	13.1774	286.44187	66.7142	357.99930000000006	0.0	56.524820000000005	364.1096	43.32459	0.0	900.97532	0.0	325.94434	1134.1866999999995	1168.6553199999998	349.01525000000004	682.4025399999999	455.30475	228.64307	357.34677	1015.6444300000002
S02_Z05	0.0	77.63611	22.875	0.0	1324.83131	1797.486540000001	73.08762	1032.81581	240.78288999999995	135.2089	196.17319	11.011	0.0	0.0	174.95478999999995	2.67257	0.0	0.0	122.48652	0.0	78.18086	17.27833	35.505739999999996	0.0	0.0	0.0	0.0	0.0	0.0	6.26034	55.4449	26.613280000000003	1994.0528399999996	44.90492	67.36729000000001	0.0	40.0353	0.0	40.0434	0.0	111.66069	0.0	0.0	1645.7213400000005	73.10480999999999	12.169	1472.5573599999998	0.0	54.22163	3529.0927399999987	1050.55193	1218.03032	1032.62872	726.0875	1029.3874099999998	510.8284099999999	1076.20702
S03_Z00	0.0	0.0	892.0111	1008.83469	586.24464	709.29916	5.42466	348.15858000000003	21.80706	0.0	395.3355	14.448	0.0	0.0	220.43819	0.0	0.0	0.0	563.32152	0.0	458.4773	243.4907	21.99748	0.0	0.0	0.0	0.0	0.0	0.0	114.41259	384.12786000000006	264.74681999999996	2245.3357699999997	959.2237300000002	1686.89738	0.0	563.6533999999999	151.7581	509.9081	50.54903	1191.9780400000002	0.0	131.79945	171.77748	107.9239	0.0	594.9492	13.25909	758.5303	1669.7063300000004	1050.3984599999997	246.90374	1209.20557	661.4188399999999	508.0455500000001	393.73294	945.5528499999996
S03_Z01	0.0	0.0	332.39039999999994	247.12303	335.30582000000004	375.2227	5.81079	196.5516	19.82439	0.0	255.3152	66.75342	0.0	0.0	136.4071	8.21535	0.0	0.0	267.1376	0.0	259.52828	154.5315	15.29668	0.0	0.0	0.0	0.0	0.0	0.0	168.32346	348.47106	147.56783	1914.97488	197.80215	772.3071500000002	0.0	349.6539	77.0812	214.773	20.5788	1094.16759	0.0	69.39817	198.29824	41.7541	0.0	566.8458499999999	19.13021	611.3304800000001	1316.2449399999998	789.7378499999999	265.79013999999995	891.0291900000001	291.3634	360.9217299999999	300.23296999999997	794.6306600000001
S03_Z03	0.0	20.66022	814.4062900000001	324.962	611.8777299999999	981.32272	13.23	459.86243999999994	33.10832	0.0	434.36587	116.9486	0.0	0.0	204.90139	0.0	0.0	0.0	529.367	0.0	395.85546	396.2649	27.20306	0.0	0.0	0.0	0.0	0.0	0.0	164.02927	252.65558	235.56972000000005	2204.818750000001	1091.76727	1178.1738400000002	0.0	306.7889	30.31395	230.644	73.57793000000001	1600.9161	0.0	61.6537	723.74968	49.95447	0.0	905.2479	21.66231	200.24874	1717.8368499999997	1324.30027	617.0361400000002	781.6376700000001	736.46327	671.8300200000002	531.66091	1093.53802
