"Samples"	"AcnR"	"AgaR"	"AmtR"	"AraR"	"ArgR"	"BioQ"	"BirA"	"CadR-PbrR"	"CblR"	"CcpA"	"CsoR"	"CueR"	"CzrA"	"DasR"	"ExuR_UxuR"	"FUR"	"FabR"	"FadP"	"FadR"	"FixJ"	"FnrN_FixK"	"FruR"	"GguR"	"GlcC"	"GntR"	"GulR"	"HcpR"	"HexR"	"HisR"	"HrcA"	"HutC"	"HypR"	"Irr"	"IscR"	"KdgR"	"LexA"	"LiuQ"	"LiuR"	"LldR"	"LtbR"	"MerR"	"MetJ"	"MetR"	"MntR"	"ModE"	"NadQ"	"NagC"	"NagQ"	"NagR"	"NarP"	"NiaR"	"NifA"	"NikR"	"NmlR"	"NnrR"	"NorR"	"NrdR"	"NrtR"	"NsrR"	"NtrC"	"PaaR"	"PdhR"	"PdxR"	"PhnF"	"PhnR"	"Phr"	"PhrR"	"PhsR"	"PrpR"	"PsrA"	"PurR"	"QorR"	"RbkR"	"RbsR"	"Rex"	"RutR"	"SahR_SamR"	"SdaR"	"SiaR"	"SoxR"	"ThiR"	"TrpR"	"TtrR"	"TyrR"	"VanR"	"XylR"	"ZntR"	"Zur"
"S01_Z00"	"14847.308189999998"	"78053.35448000013"	"45660.15062000005"	"46357.10619999999"	"377336.3340649993"	"28453.017730000018"	"241222.2087500005"	"82074.19508000005"	"47042.119009999944"	"79096.19494000012"	"26294.479809999997"	"94412.37475000016"	"155320.82063000012"	"22130.83298"	"70925.65251700007"	"386630.4359999991"	"52292.36974000012"	"11619.157589999995"	"32763.97758"	"13915.436850000007"	"52607.254679999955"	"38436.92515"	"15949.653379999992"	"44106.814469999954"	"74600.88016999992"	"38392.04729000004"	"71966.80843"	"104361.8164139999"	"56071.74988999993"	"125110.96284"	"99540.25079999983"	"59476.74582999996"	"48143.235619999985"	"206078.64706699984"	"160801.4528199998"	"239062.92756000045"	"29182.493460000023"	"63188.95171000005"	"148133.98553999988"	"43846.19773000003"	"22472.781529999997"	"18035.455320000015"	"216473.08180999977"	"293444.8016380003"	"270802.12634500006"	"93989.57488999996"	"315082.6428499998"	"104297.77798000016"	"73809.88579999983"	"22745.202190000015"	"53648.41615000003"	"23817.879319999975"	"40803.941959999946"	"43762.112999999896"	"56016.13130000005"	"67415.74074799997"	"192656.20401"	"477714.7623440004"	"289374.4849229997"	"114507.59933"	"86909.40530000003"	"52451.632490000025"	"214138.75105499977"	"73470.51404999998"	"76447.81578999995"	"135131.7532200002"	"48570.14607000005"	"19504.1955"	"41613.47226999997"	"142176.29188000035"	"21818.547489999983"	"36047.51249999999"	"113918.82240999976"	"91705.62259000012"	"155995.57212399985"	"148935.36252000002"	"211338.02310000025"	"95730.01635999986"	"46073.545230000025"	"75473.90878300012"	"129758.48747000008"	"61888.14554300002"	"27146.958790000022"	"73506.8867200001"	"52712.245699999985"	"63562.01351399991"	"37113.583399999974"	"435885.11075800087"
"S01_Z01"	"17172.49728999999"	"84534.9773900001"	"48947.289359999995"	"51479.355980000015"	"421085.3876659996"	"28962.67374999999"	"272200.68739499996"	"93095.98727999994"	"51702.914079999915"	"84571.27518999994"	"25499.240709999973"	"98198.03692000004"	"180491.97760999983"	"24020.35003"	"80720.38946999997"	"435621.8144999998"	"56235.92078000005"	"11618.86882"	"39531.16275999995"	"15787.538390000016"	"58485.861664"	"41821.52852000003"	"16781.306540000016"	"52064.05009899993"	"81208.27880399983"	"42462.90266000004"	"79558.41747999995"	"108036.1746100001"	"63937.05773000001"	"142070.6702200001"	"111681.15805999996"	"66186.71393"	"53050.610510000006"	"229839.420517"	"184244.57497999968"	"258850.69458400007"	"29362.724559999973"	"66265.63824"	"166783.99631599992"	"46633.400769000065"	"24293.517029999977"	"19043.920469999975"	"248908.63713800072"	"338935.5315760003"	"290422.6924420003"	"99632.66975500002"	"353003.7309120005"	"107692.61525999976"	"85458.81414300001"	"24592.453589999972"	"62891.866340000066"	"26403.72794999998"	"45441.963599999915"	"45981.50001599995"	"63799.20745000006"	"72963.43373999998"	"209877.6425190008"	"541117.8797620005"	"331504.657695001"	"117628.85220999982"	"90285.30339"	"57595.82773700002"	"227200.37382200017"	"82651.91484999993"	"85292.67565999995"	"155147.4559200004"	"53758.51755599998"	"20242.50299"	"44571.24729500006"	"149259.4115200003"	"21946.38514999998"	"39348.12228999999"	"122475.74066799972"	"98317.1754200002"	"173563.63566999993"	"159560.56815499993"	"236650.9894000003"	"106651.16708999992"	"53620.93441999998"	"87052.39950000012"	"150656.86376000027"	"70320.82985000004"	"26249.509139999995"	"79088.96139999999"	"57496.902353999976"	"67871.42330999993"	"40241.09848999997"	"486849.4767419996"
"S01_Z05"	"11115.815019999996"	"53720.878659999966"	"30794.999935000014"	"33243.07258999998"	"276680.9730360003"	"18221.73856999999"	"169180.93869500016"	"70383.75998399997"	"33861.054027000064"	"49949.69846000001"	"19589.151239999985"	"67903.73188"	"108312.97756400023"	"15327.85814000002"	"59623.327634000074"	"287310.1113849998"	"35684.05127799999"	"8257.072140000002"	"25354.279"	"10279.330739999998"	"32372.20819"	"28035.34732000002"	"10839.322009999994"	"34740.53550400006"	"47621.12412999998"	"29104.61327999999"	"47850.28039999995"	"71138.15606100009"	"45130.96783200001"	"91252.5493399998"	"76911.97781500018"	"45523.94461299998"	"34850.12558000002"	"172462.93318499965"	"113121.97125000008"	"159624.67699799984"	"19972.783849999996"	"39065.745935000086"	"112639.21114599996"	"35349.06311700003"	"17675.045409999995"	"12552.811299999985"	"166161.0472099999"	"220502.06482000017"	"187021.26644100004"	"68776.11927499999"	"219395.38304499976"	"74136.38023999997"	"53170.28548500008"	"18081.54078"	"38134.30468300003"	"15772.83805999999"	"33954.29225000001"	"26603.45543999996"	"29933.229650000012"	"47575.4713000001"	"134912.5125069998"	"340315.2854729996"	"219694.15380000023"	"66181.84384"	"62471.53761999988"	"40050.783714999976"	"151811.99710999994"	"59009.80183"	"61348.8662229999"	"99375.95192000014"	"33054.86384"	"15724.186440000018"	"28356.76418999995"	"92022.98789800004"	"10995.879750000004"	"23664.42343999999"	"89624.10742200018"	"60032.90918999997"	"109730.0399489998"	"107704.76737000022"	"166094.49178899985"	"62486.95514000009"	"37923.33363999996"	"59705.42123000004"	"103954.61998000032"	"47450.41047000001"	"19970.649560000027"	"47384.69233999994"	"40513.67733999999"	"42496.27649999996"	"27468.367179999983"	"320453.8763600005"
"S02_Z00"	"14052.885720000007"	"82087.43465899996"	"48763.136190000114"	"52010.50291999999"	"422499.39690000063"	"26310.072269999993"	"274337.0676219998"	"91392.72122000004"	"49029.63926000006"	"87245.62675000001"	"24442.903802"	"94718.05486999996"	"185186.2942300001"	"22539.151420000017"	"80381.53479000015"	"440338.5191239991"	"57731.91798999999"	"10460.145320000003"	"35554.40063000002"	"14372.442339999994"	"55735.14766400004"	"41908.57501000003"	"14941.021799999988"	"48415.29399999998"	"74291.21365999994"	"40924.151880000085"	"77577.34924999996"	"109104.19866"	"62578.09636000003"	"129779.17629700009"	"113499.0201199998"	"70462.1482900001"	"53545.79878999997"	"230495.6966700001"	"192844.66195"	"250683.43329999992"	"29304.928840000004"	"64658.087429999985"	"159454.29526799978"	"44262.28859400002"	"21628.78107999995"	"20826.898109999984"	"243587.79684699932"	"333188.91783600085"	"289545.1059969998"	"98767.37412000042"	"366528.28962599847"	"111646.30948999984"	"83195.31127000008"	"25067.146467999995"	"63440.85542700004"	"21445.965999999997"	"49094.49863999993"	"41817.33970999998"	"57467.63318000009"	"72312.68919999998"	"208190.7455390007"	"545458.2022109991"	"339293.33372700016"	"110126.71884100004"	"84758.02978500004"	"55444.37121399998"	"222685.8389879995"	"84075.41382000005"	"84798.75942600025"	"157562.8045499996"	"59529.7009"	"20022.31399999999"	"40917.17970999996"	"150667.06893000015"	"20106.439800000015"	"37595.81684999998"	"129236.1892900001"	"91156.18881999997"	"170413.08368999977"	"157826.95811100013"	"236266.96359700008"	"98894.33590900007"	"53172.94372000003"	"81116.49216899982"	"152182.3839930002"	"71288.42297999993"	"26984.51788999999"	"79063.67516000006"	"57438.27347000002"	"69466.17816000001"	"39042.34230999996"	"486159.6432639991"
"S02_Z01"	"13713.462939999985"	"69013.86197000003"	"41776.45925999996"	"45360.6689"	"355732.8337099998"	"25275.82438999996"	"225451.15994099953"	"77752.54604999996"	"42492.850810000025"	"70503.01693999994"	"24100.737049999992"	"81719.14222299989"	"155886.96572999985"	"20850.124039999995"	"66410.488353"	"361632.2079400001"	"49455.306850000095"	"9776.89787"	"33426.75534000004"	"12118.962799999998"	"51588.102169999926"	"37298.47174999997"	"14723.21143"	"40887.42742000003"	"66518.07766000002"	"35619.51143999998"	"67401.06897999995"	"92783.47358000003"	"53935.92723000001"	"114832.46131"	"95980.97558000016"	"56441.61375999999"	"44327.02608000005"	"191122.03471000015"	"153698.7736379999"	"218137.78192999988"	"26533.098925"	"57055.80555999999"	"135317.68825000018"	"39937.21547"	"21435.421850999992"	"19301.666369999966"	"197636.1645079998"	"281096.4338400001"	"249363.91645299993"	"84536.06912100007"	"290678.88096000004"	"93362.3041"	"71944.04060299996"	"21544.520039999996"	"50844.39663000003"	"21220.03471000003"	"42217.05358000003"	"37826.106170000014"	"50610.571759999955"	"60207.40017000005"	"178438.0645699997"	"451499.6693680005"	"274353.9700879997"	"94479.24121000004"	"76911.73094999988"	"49292.374610000035"	"191555.9027000002"	"71478.55952000011"	"72150.49760700011"	"128311.3157600001"	"48194.72335000006"	"16358.395350000006"	"37758.767160000025"	"127266.49660999996"	"19060.08056000002"	"33046.99272"	"108920.2685699999"	"78922.53640999996"	"146619.85731999992"	"134096.57112999985"	"199613.89149000065"	"90019.36161000012"	"45554.990610000044"	"72880.88374999995"	"123420.84833000014"	"62347.89887000003"	"22571.237470000025"	"64661.1083"	"47898.02445"	"56974.387569999926"	"31911.166500000025"	"411072.09292000066"
"S02_Z03"	"10025.05501"	"55247.75403000009"	"32130.69298200003"	"37768.74349999999"	"288129.83505999885"	"20237.020729999986"	"188053.9686900001"	"63200.52785499994"	"34526.335480000016"	"60077.249178999955"	"16109.520320000003"	"64148.58971000001"	"122708.95252"	"15474.180499999997"	"56046.277633000056"	"312017.6685120002"	"37224.66806999999"	"7125.942700000001"	"26631.695690000022"	"9186.774540000008"	"38819.102889999966"	"27825.268990000022"	"11593.408710000003"	"32703.777490000008"	"52292.33651999992"	"29405.52714"	"55255.01073999991"	"73808.63881999993"	"42277.12682000004"	"88166.61778000012"	"74685.15416000003"	"47242.88702199994"	"35682.936750000015"	"157123.1912649998"	"137366.36345100016"	"174616.51608099983"	"20136.934539999973"	"42142.16412999998"	"112161.1926310001"	"31344.349830000003"	"14797.217719999995"	"14538.236930000006"	"168742.1508600002"	"236291.69032800017"	"194467.5573230005"	"71088.20530200013"	"251876.33558699957"	"74386.46823300004"	"56527.49979000002"	"16195.23936999999"	"40239.76380999994"	"16763.17731899998"	"30214.042959999984"	"28926.036650000027"	"37697.09676000005"	"47055.05749999998"	"144108.29790000024"	"377603.6251850006"	"237381.3160500001"	"72664.08317900008"	"60526.539210000024"	"40561.67531000003"	"149173.6036449999"	"56959.760779999975"	"56929.47608000007"	"105092.22527999984"	"36480.08170999998"	"13597.522050000014"	"29602.83623000002"	"102833.64323"	"14497.278710000004"	"25899.46137"	"88685.88698999985"	"65944.26861000016"	"117484.67331399994"	"112149.0905690001"	"169196.8785600001"	"69643.85239799993"	"37271.30563999997"	"57953.18433"	"113383.4004569999"	"46055.85809999986"	"19004.007480000015"	"53137.309079999985"	"40593.92205700001"	"48001.07332999998"	"26379.270749999996"	"334712.8053010011"
"S02_Z05"	"15417.656440000002"	"65287.213242999984"	"42519.53895999998"	"38383.62886000004"	"315342.8031970001"	"26626.54916000002"	"195207.25506600016"	"85532.7178679998"	"45100.33792000004"	"59406.34475700001"	"25774.36466000001"	"88497.77073000006"	"124302.88452599988"	"21985.57409"	"73979.6274199999"	"337823.7071549996"	"45071.26474899999"	"11174.196710000002"	"34481.45104199999"	"13279.606339999997"	"44845.79887"	"37953.73404999999"	"14418.688440000002"	"45877.88236400006"	"62573.33281000001"	"35479.710118999996"	"62784.769080000115"	"84348.31632299989"	"51222.01366999995"	"116599.19325600028"	"91646.90130800006"	"54550.48471200012"	"40727.88563199998"	"201848.13623099984"	"132740.63848999987"	"203000.384582"	"24151.715412000027"	"49068.93700999996"	"142175.68919"	"46699.653079999975"	"26067.690592999996"	"16095.855929999983"	"196775.55511800037"	"261248.0001529997"	"221652.3523460005"	"82370.29577999993"	"242798.641916"	"96240.64655999994"	"68376.8507300001"	"23434.207170000016"	"45367.64800000003"	"23533.29087999999"	"38457.40047"	"36890.30703999995"	"42975.63332000014"	"59768.35048499991"	"172504.95020700005"	"396017.5877800001"	"253857.58325800035"	"87162.70224599993"	"82780.4376130002"	"49305.99922"	"198536.73798399992"	"70836.08431099998"	"75867.058388"	"112333.47610599989"	"39917.77316999997"	"16820.337560000018"	"37841.66993"	"115302.36185299986"	"15327.564740000003"	"29813.786889999992"	"104278.7683730002"	"81377.85507999988"	"135996.46874599982"	"136890.85833099982"	"190097.310017"	"76694.60185"	"47156.138929999965"	"75093.70618399994"	"115261.06175999966"	"54524.59664200007"	"25588.58923000001"	"55441.03428999994"	"48583.34667600006"	"51155.81857600004"	"35336.63098000002"	"381205.595766"
"S03_Z00"	"12210.592729999997"	"55017.606420000026"	"34320.70055399999"	"33061.55655"	"261908.563963"	"22750.99579200003"	"170059.34278000027"	"61503.65677000005"	"34050.09586000004"	"55357.39096199986"	"17935.066449999988"	"72601.65470999997"	"111447.56535999994"	"18040.56519000001"	"53744.46505000011"	"275491.7257109997"	"39561.50014999998"	"10215.878590000004"	"27582.78036999998"	"11542.621659999992"	"41307.10357"	"33046.27351000003"	"12005.83948"	"36311.581889999936"	"60480.17991000004"	"28186.472259999977"	"53151.51413000004"	"71639.57367000006"	"42069.924909999936"	"93316.22735999996"	"73306.66586000001"	"43336.91744999998"	"33411.857760000035"	"151463.95798199973"	"118222.08549100008"	"179927.18464999966"	"20601.330309999976"	"50182.78794"	"110698.5534199997"	"33631.92168700001"	"18549.459410000007"	"15953.11041"	"157431.27534899983"	"212371.77074200023"	"192314.66639000055"	"63845.04335999994"	"212593.86769000033"	"74310.29583999995"	"58453.37236000002"	"16750.296039999994"	"39981.993260000025"	"16905.938560000006"	"30615.85536000003"	"39690.31668399995"	"47802.94053999997"	"49039.87948200001"	"141783.9720819999"	"338046.40222099936"	"205657.77389000004"	"83565.65389000006"	"65087.15099999993"	"38251.281149999995"	"162740.41267099977"	"59242.96254000008"	"61327.86768199989"	"94251.6059500001"	"36255.06002999997"	"13299.485230000004"	"28811.424560000036"	"98634.85379999998"	"15691.462099999988"	"28772.913890000014"	"82077.90668200013"	"69755.0465800001"	"114277.55711000013"	"111226.68412700022"	"146294.8256100002"	"72687.62159000007"	"36553.16524000002"	"61341.773500000105"	"93112.22639100018"	"45975.308679999966"	"18645.292343000012"	"50657.00494999997"	"41345.57127999991"	"45674.98617"	"26929.76492000002"	"311457.7245800009"
"S03_Z01"	"9216.161279999997"	"44224.53660400001"	"27716.533229999983"	"29233.59407300001"	"217775.21467299972"	"16597.19273999999"	"141515.58056000006"	"48737.518619999966"	"27130.581850000028"	"46360.91316"	"14303.04569000001"	"55940.196770000024"	"94769.13895000004"	"13127.91707999999"	"44561.318933000075"	"241730.45613400065"	"29755.85630999995"	"7013.911500000001"	"21087.61457000002"	"8916.207399999998"	"33664.58484799999"	"23731.497899999995"	"7977.125579999996"	"28013.29921000005"	"45258.20026299996"	"22602.375419999997"	"44287.47283000005"	"57424.79931999995"	"32818.70660999997"	"75846.09442999994"	"58510.43915000006"	"35428.013210000056"	"27036.253770000003"	"124829.90160700028"	"102415.7219769998"	"140108.3940129998"	"15861.275029999984"	"37523.56967999992"	"90623.31383"	"25153.89645999996"	"14199.52511000002"	"11834.149810000008"	"127190.90401800006"	"185509.90958699991"	"153950.48978700006"	"50416.577239000006"	"185116.9118579997"	"58487.39426000005"	"44224.127487999984"	"13282.752150000011"	"33420.28027000001"	"14638.161210000017"	"24561.890160000017"	"30548.70963"	"35904.93793799998"	"38582.85248000001"	"117559.46800700028"	"287466.5638129998"	"179786.1532779996"	"64392.74784799998"	"50020.36482000004"	"31489.780970000003"	"125616.64881800016"	"44804.074599999985"	"49372.706688"	"81633.7612200002"	"28734.015629999976"	"10715.769230000007"	"23268.561839999973"	"81348.48487000003"	"11433.561229999994"	"20697.29909000001"	"71073.47921000027"	"56232.84119000001"	"91219.32949599992"	"89070.21241499994"	"126795.95791399977"	"57160.407097000054"	"29493.170609999965"	"47280.62169"	"85441.75984700001"	"36331.17730000006"	"14597.011409999996"	"40330.22561999999"	"33659.80322000002"	"38583.59385000002"	"22262.302059999984"	"260688.01522799977"
"S03_Z03"	"13104.485369999986"	"67143.76864999998"	"41374.44601000007"	"42818.81388000007"	"337074.5593810005"	"23109.065239999993"	"211301.97918599987"	"75812.84302000006"	"40948.36865999996"	"65896.68372000003"	"20765.821599999992"	"75137.5741400001"	"144609.50818999973"	"18481.1003"	"66640.46110000004"	"357277.86458799976"	"44667.37886300005"	"9839.632670000015"	"31247.52550800003"	"12039.046702999984"	"46773.59495000006"	"33738.62335999999"	"12724.312159999998"	"39226.220150000096"	"62901.225250000105"	"36090.69043000005"	"61444.74512999997"	"88712.07788000016"	"49338.053632"	"107065.73405"	"93945.3120749999"	"54968.96925999991"	"43598.537789999944"	"191025.52078999975"	"147338.97757999995"	"198101.7710900005"	"23976.15909999999"	"51280.696965"	"132520.68074900005"	"41046.16315999998"	"19027.94233"	"16474.20534999999"	"199250.08286600013"	"273925.2269699999"	"234142.00924799975"	"82770.08848999986"	"272490.2270240004"	"89830.6019910003"	"66562.68332"	"20892.571589999992"	"51777.678477000074"	"18947.974870000016"	"36614.19809999996"	"33240.85399999997"	"43453.984185999994"	"59362.101823"	"164413.46318700013"	"434167.81325500144"	"273884.20061900007"	"85324.83752799995"	"72611.20072000001"	"49095.16592900002"	"178862.94061499962"	"68015.55252999994"	"70791.39547000003"	"125156.5064099996"	"44790.73319999998"	"15377.889459999997"	"34259.34067000001"	"117988.28432799994"	"15395.83829999998"	"29979.471990000045"	"107375.405296"	"72950.27211999995"	"134454.35029899993"	"126722.73645500022"	"195400.18442600055"	"78617.96451000005"	"43599.56213999998"	"69918.03003999998"	"125697.31324999969"	"54785.64266999999"	"22215.43418999999"	"59669.44725999993"	"44583.340540000005"	"57809.59152700004"	"31350.269400000005"	"392269.1516600005"
