Samples	AcnR	AgaR	AmtR	AraR	ArgR	BioQ	BirA	CadR-PbrR	CblR	CcpA	CsoR	CueR	CzrA	DasR	ExuR_UxuR	FUR	FabR	FadP	FadR	FixJ	FnrN_FixK	FruR	GguR	GlcC	GntR	GulR	HcpR	HexR	HisR	HrcA	HutC	HypR	Irr	IscR	KdgR	LexA	LiuQ	LiuR	LldR	LtbR	MerR	MetJ	MetR	MntR	ModE	NadQ	NagC	NagQ	NagR	NarP	NiaR	NifA	NikR	NmlR	NnrR	NorR	NrdR	NrtR	NsrR	NtrC	PaaR	PdhR	PdxR	PhnF	PhnR	Phr	PhrR	PhsR	PrpR	PsrA	PurR	QorR	RbkR	RbsR	Rex	RutR	SahR_SamR	SdaR	SiaR	SoxR	ThiR	TrpR	TtrR	TyrR	VanR	XylR	ZntR	Zur
S01_Z00	8726.796920000004	47610.58973000005	29105.91806999999	28218.880019999953	232507.21727499965	15694.099510000004	150715.01162999967	50853.01488999993	28157.654069999997	48990.85017000007	15663.435039999991	56166.43333000004	94674.3133699998	13525.684880000004	42341.03481999998	237405.14072999987	31732.65145000003	6229.181829999998	20024.043679999988	7207.958779999997	30907.657309999988	22634.62838000001	9185.911379999996	25968.61063	42446.11506000008	22729.69352000001	42530.09637000004	62834.07300399997	34509.9858	75841.91573000001	62001.27556999996	36144.81877000005	31499.01002999998	124209.06418999986	97752.05656999984	140686.40261999998	17594.343700000012	38277.934369999944	92484.0878299999	27103.014989999985	13548.159129999998	11280.455760000012	128800.75327000006	177442.35533999975	164365.47279499954	54676.220570000056	198034.0566000004	63498.570359999976	41534.14555000004	12000.706580000013	32899.559310000004	14492.555780000002	24320.068879999984	24701.17910999999	33111.81195999998	38866.76058999998	112231.49071	284341.7961070001	180416.99754000007	68114.69613	50198.86851999998	31581.53122999996	130607.46318500006	42823.14279	46964.340560000026	84924.15969	29034.558349999996	11586.953819999986	25259.256509999992	88034.98437000012	13291.69014	19190.172899999987	69477.30896999997	55525.285230000125	97610.80079400004	84768.02387000002	130303.15550999995	57427.72884000007	26801.297919999983	42800.16106999997	81647.80390000004	37159.66875	16868.51977000001	45045.65583000004	33992.35577999998	37492.933984	22843.541809999988	264824.2255500001
S01_Z01	10147.149069999992	49567.62342000003	28265.68440000001	30565.476400000003	255712.4864199995	16394.235320000007	168171.50129800008	57324.62929999999	33896.91874000006	52803.45809999997	15547.816350000016	58312.515109999986	112326.37027999989	14859.648759999996	47588.81569000004	264046.05550999974	33866.51255	6656.311949999995	24676.85226999999	8842.106459999995	33964.53936399998	25094.185139999987	10089.098300000003	31847.36753900001	46170.40760399995	26027.008390000006	45618.01412999996	64445.92599999988	39040.59088000005	86822.48350999999	70683.87795000011	41888.840380000016	33171.925089999975	138651.2024800002	112055.65494000014	151408.92926400033	17260.06018	39217.63838	101497.72253900013	29375.89542999999	14986.64932999999	11132.192950000002	152762.4956979999	205144.88360600008	177632.96834199986	57083.066575	218951.8773719999	65119.13886000011	46944.95552299992	13472.167270000004	38150.873739999995	17439.356470000002	26383.51197000001	26129.531519999997	37568.474729999994	43223.31293999996	126440.71472999992	318819.68200200045	209681.201125	69410.98484000003	51997.581739999914	36402.261160000024	139081.66978200004	49330.576989999994	54538.39198999998	94577.88089000007	31990.376120000008	12363.037739999998	27601.392319999984	93035.97155000012	13886.43194	21164.068700000007	74046.3184599999	59506.073209999995	106931.0537199998	91468.92333000003	143960.94153999985	66088.32453000004	32657.040779999996	49708.75151999993	91041.49820000005	41012.527110000025	16346.700240000002	48146.59350000001	37471.05891399994	41270.32202	25406.628079999977	294233.0611720006
S01_Z05	6821.05557	32652.553149999996	19286.03618	20540.64594999998	170084.2143660001	10811.062349999997	103137.21704000005	43252.90343400003	21204.27715700002	30931.63031999999	11395.689630000004	41382.98186000006	65511.637289	9461.641890000004	34881.809236999994	176445.8719000002	20706.80168800002	5070.211080000003	15592.772160000006	6085.795710000001	18891.591569999982	16738.446380000005	6806.423300000002	21317.15490400002	30575.77238000001	18058.236750000007	29646.720100000017	43195.341251000056	27530.85903199998	52595.81760999996	46348.86534500001	28797.05745300001	21642.81799	104812.18361300012	69687.82546999992	94836.88140800007	12480.696560000006	23943.24294999999	67505.45393999999	21024.32282	11323.279060000004	7114.4466299999995	101800.12878000009	133842.23018600006	116233.08737399986	40852.579885	134666.0933849998	44311.56475999996	31782.332565	10355.163780000012	22408.359083000003	10347.94326	20394.60679	16306.870559999996	19823.45437999999	28575.52342000001	80059.29505000004	206085.77072499983	132506.70298	37895.50148	36925.10526999999	24631.846995000014	92473.30614999984	35950.81363999998	37820.70225299998	60648.99012999998	20779.077979999987	10214.80976000001	16007.570079999974	54676.89640000009	6849.246609999999	13574.694569999998	55218.90502200004	36549.87958999999	67447.02643899989	66314.25424999997	103420.18791899996	36365.69156000003	23254.262079999993	34597.03403999999	62424.30949000002	28724.897699999987	12275.103419999998	28470.280180000016	25873.88637999993	25018.914030000007	17212.969400000005	195385.60034999947
S02_Z00	8903.887630000003	50602.036049000075	29305.383569999995	32285.882790000025	257691.6503099998	14854.287230000007	164901.93032800013	56455.844227999965	30117.510689999977	53423.72230999992	15194.061260000002	55592.81539000004	111616.01853000002	13096.391900000008	48331.25061999998	271224.5425899999	33455.47548000001	5973.825209999996	23399.83424	8691.585869999999	33258.67817000003	24203.69609000003	8725.344509999997	30389.48949999999	42283.15105000004	24807.491849999973	45275.785	67289.34188999991	37289.41697	77143.78337000003	69423.73925999991	44097.96966999997	34853.593269999954	137432.19953000036	117676.27785	146736.3597199998	16588.372960000004	38693.564920000026	98941.29732800004	27363.52925400003	13703.448150000004	13617.012690000003	147733.274627	200405.2604860002	173391.86398	57143.24772999995	226953.4077660001	67068.49266999998	48466.80215000003	14065.553978000014	40049.69866700003	14422.067620000002	29545.935809999988	24361.651259999937	33243.58482999998	42655.59476000004	125124.02034	325332.42257999885	211032.48650700023	64884.82240000003	50531.98483400003	35212.631704	132321.08230000036	50452.76921	53930.821119999935	92946.47228000005	36986.375479999995	12157.777379999996	24557.27772	92473.61297999992	11676.64656	20062.21147000001	78608.06524000004	54167.01189999997	106301.17722000016	90575.00712999993	142356.97622700004	60596.67531999995	30582.969179999956	46635.65909000006	93687.86880999993	42294.01223000004	17480.394459999992	48948.86405999999	36856.265860000014	40923.76767000005	23738.71169	295454.02954000037
S02_Z01	8265.518739999998	42467.67842000001	23862.05147000004	27813.077109999984	218295.6686600001	14027.093610000004	135565.87294099986	48409.968349999974	26564.90415999999	43664.97885	14425.423829999998	48983.60390299996	95037.87484	12461.079920000002	39279.23392300001	220695.84341999996	29225.72180000002	5909.908380000001	20607.071260000022	7392.525229999997	31020.34047000001	22179.661800000024	8857.05761	25114.01721	37435.61311000008	20913.418289999987	39498.79881999999	56224.37515	32723.275070000007	68633.55193999992	58877.09032999999	34158.203080000014	28931.70703	114290.3185600002	91257.38350999996	126547.16839000004	15209.807360000008	33437.14179000001	86189.57207999998	24353.60710000004	13283.152310999998	12947.366069999996	116689.06136000012	170693.32909999992	151199.16724299992	50132.75844100002	180260.35076000015	56580.47573000004	39412.204450000034	12083.82161	30952.670569999995	13753.67752	24225.19756000001	22838.162909999995	29936.38090000002	35593.687260000035	105667.85929	266511.1787999997	170595.43827999986	56635.840260000026	45314.28601000004	30580.95072	114940.69537000006	42137.27881999995	44420.62794000004	77258.26978	29813.0169	9217.67687	22704.04833	76022.03184000003	11532.410940000002	17190.60811	66734.57205999989	46273.12842000004	89573.43003000008	77860.1850799999	122220.31454999988	54339.49023000008	27807.32866999998	42844.21342000005	76296.52621999996	37241.158899999995	13641.86724	39608.8012	30085.43188999997	34230.205199999946	20062.452809999988	246550.19274000035
S02_Z03	5968.6122399999995	33922.03217	19190.420690000017	22671.352540000007	175784.86981999973	11575.660059999997	114451.15979	38587.146773000015	20830.93093000002	36094.254239999944	10451.185810000012	38671.15481999997	73993.61003000008	9544.591150000007	32519.51066	189659.07187000004	21561.688690000017	4148.923469999998	16758.194009999992	5483.681759999999	23202.56077999999	16544.246279999992	7249.9987799999935	19036.82837999998	30007.52316	17051.13706	31915.066190000012	44078.824779999995	24752.85977000001	52778.97174999996	46316.72014999997	29876.50345000001	21901.47889000001	93021.20715499995	80728.76250000008	101107.00715099993	11359.66478	24265.93716000001	68719.26128999997	19448.29945000001	9029.190459999996	9168.464079999998	98786.21257000002	142423.71110000016	117866.64250999996	40577.252340000014	156392.58287999965	45470.78139999997	31567.08013000004	9391.46443	24790.80816999998	11215.712359999998	17324.28535	17276.478840000003	22347.130259999987	26868.693380000004	85144.96223999996	225627.25779000047	146901.76529999997	43687.33109900001	35759.58221000004	25444.04506999998	91312.792205	33571.07845999999	36502.77232999997	63823.35385999995	22489.547029999976	7752.133839999999	18169.27962	61919.91748999996	8209.31855	14020.905999999986	53165.07465000001	39613.6649	71226.1544099999	63820.184518999915	102803.31906000004	42367.02748799995	21054.814950000004	32730.738270000023	69313.86643700005	27464.981610000017	11187.461099999991	31438.085219999994	25799.162130000022	29142.632230000007	16351.132840000017	201198.51562500015
S02_Z05	9679.72174	39357.21898799997	26203.57509999999	22425.057209999988	189802.5185839998	15870.331389999994	118156.2171320002	52195.67616999996	27677.657719999985	34649.01382699997	14220.720780000003	54417.89923999997	76582.97062599992	12991.061249999995	45812.97413999993	207492.89575599975	26039.19099900001	6585.3076200000005	20937.42692000004	8595.55181	26550.778860000024	22826.654839999977	8720.12939	27099.488472000023	37771.303310000054	21578.603878999984	39220.031510000015	50069.69237599992	31317.83203000001	65995.87341000007	55546.509185000046	33709.56753999999	24547.119314000018	121687.56416099991	80504.42905000008	120715.74849000011	13471.800130000003	29903.884359999993	87469.28821799994	28116.86830999998	16677.97662999999	8774.673930000003	119591.82976800036	157377.31303399988	137709.42178000027	48542.750960000034	146724.07981899998	57272.54173999994	40311.074203	13545.920690000006	25841.812319999997	15142.899989999994	22187.58165999999	22656.781789999983	27923.02502000003	35397.10994299996	102377.65548000004	239927.73158	153155.93665499997	51803.74190799993	47531.18215999994	29347.120778000004	120689.63735999992	43952.09882799994	48244.715497999925	68156.76166599993	23490.123469999995	10505.66326	23457.733299999996	68702.14841299996	8701.489129999998	17690.41485000002	62968.07975600002	49143.605487999994	82890.27932599993	82149.69216100006	118020.52158000026	45905.22271000002	28079.185699999995	43552.920829999945	69627.04881999987	32613.37697200001	14995.382500000002	31576.013200000016	30523.89436599999	30369.347849999987	21689.153429999984	231960.49387800044
S03_Z00	6932.566130000003	33072.353419999956	20641.968889999996	19945.739930000003	157770.82979999995	11985.678189999997	103084.51771000016	36200.62632999996	20070.548629999983	33504.417461999976	10494.06926999999	42289.28932999998	66556.02405000014	11251.75219999999	31496.73726999999	166978.32141300003	22470.910269999993	6600.0034500000065	18141.59140999998	6469.2333000000035	24650.37975	19179.024619999993	7254.235340000002	22862.828850000005	33421.584209999986	16503.809720000005	30561.461219999983	42601.298179999976	24779.966620000003	55326.04549000016	43357.31529000006	26021.974929999946	21574.00413000001	89161.68978199975	70373.603391	102068.58964999998	11017.63202	27295.74826000002	69449.03161999995	20828.093250000024	11595.599	10980.564979999996	94331.20136999972	127285.414752	115223.30647999993	36997.62412000002	128840.72613999984	44721.96639	32658.008799999963	8635.613429999996	24081.30044	9536.18863	16724.347819999988	21074.979550000025	26830.05328000001	26526.56972200001	83021.1082519999	201017.38464099955	125750.89254000004	47681.23543000002	37834.15248000002	23983.80103000001	98400.77283999985	34650.199599999985	37723.92924200002	56182.200320000025	21891.548359999993	7911.184109999997	17164.197960000005	58972.41925000005	9369.967349999995	15149.76453	48467.95917000012	40920.60146	69016.99855999998	62161.427919999966	89282.08788000004	43808.58553	22377.128759999996	35218.760750000016	56684.085281	27088.793019999983	10792.824592999998	30356.331670000018	26080.843440000004	27163.865389999977	15631.146850000012	187738.5279000004
S03_Z01	5430.833170000002	26605.233586999977	16226.901609999995	17583.806623	129385.47304299998	8997.323049999995	86694.83119300006	29735.32199000001	15854.635030000016	27126.471139999983	8680.533249999991	32254.979239999982	55608.244270000025	8061.363729999999	25055.73758000001	145314.44337000026	17298.045150000013	4256.326680000002	13543.268500000013	4682.34815	20276.773868000007	14233.877939999997	4853.412249999999	16822.58155000001	24854.21414299999	13340.929660000003	24660.535830000015	34706.130069999956	19527.856770000013	45237.9367000001	35955.64629999998	21544.40855999996	16646.944800000016	73517.78830700004	59763.0521200001	78690.70937300006	9180.018990000004	22097.745130000043	55058.68444000002	14251.184880000008	8188.440519999997	8145.3166699999965	73050.39758799988	110541.73444700008	93742.37923699978	28435.584062000024	112207.28798299991	34787.756450000015	24096.449380000027	7879.848799999992	19347.879119999972	8650.21440000001	13607.272570000005	16694.40246999998	20319.386078000007	22762.514010000006	69007.949447	167389.00802299962	109679.4620480001	36842.83659999996	28603.792459999975	19699.654129999995	75392.88046500011	25723.168500000003	30981.019649999995	47199.309290000005	18492.86717	6262.344150000001	13862.423090000004	48771.524649999905	7051.55981	10022.919650000003	42591.116150000045	33061.01906999998	55460.19352600002	50803.635767	75285.61227400006	34239.696287	17874.226909999987	26969.142019999996	50018.58981	21033.12126000002	9166.812190000004	23875.077550000005	21067.10974000002	23788.509220000004	13665.424360000005	156518.28054200008
S03_Z03	8101.712330000001	41254.02572999999	25171.39816000001	25563.991460000005	202976.30269100016	12875.493290000011	130556.59435599978	45886.47533999996	25037.416229999963	39588.77068000001	12373.797699999994	43819.06285999998	88593.12428999988	10798.133339999998	38459.87271999998	213898.3574799998	26185.45960300001	6396.395299999998	19992.464530000005	6648.782443000004	26752.314409999984	20558.266450000025	7836.888550000002	23358.850629999997	35820.573269999986	21107.075309999997	35533.703560000016	55740.90164999996	30237.01734799999	64499.42054000001	58130.45049000005	33558.35289000001	27434.733850000022	113335.31882999986	86353.30647000005	115947.64722000004	13534.95379	30277.32938499999	80951.35137900006	25410.837960000015	11466.174460000002	10317.534129999996	119961.189858	162439.99301999988	140993.92943299966	48060.551710000014	168495.04715400017	52027.58257000002	36700.84159999995	12401.7298	31662.875460000017	12785.68344	20177.881930000018	19725.94777	25802.105719999945	33975.33568299997	98904.39693699968	258097.77578599984	169065.69486000005	52195.37379799989	44215.64112999997	30454.68310200003	106990.03334	39819.22821000002	43878.86631000008	74689.02611000008	27598.835840000014	8881.686150000005	21112.901820000006	68814.16753799998	9846.032969999997	16355.422839999988	63397.93911599997	43057.65746000005	81910.36432799992	75615.4967800001	117687.60052999997	48199.22417000001	25758.549690000003	41361.15816999995	76788.96920999994	31748.55041999999	12763.996749999988	35891.81639000003	28885.06806000005	34321.92102299998	19602.432049999992	236852.28858999992
